displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,pressure_blood_all,load_all,time_all,varepsilonb_all,varepsilon_all
-1.5485814153135783e-06,163.5407521604057,163.54075216040576,-9.798743611917222e+18,-3.1854071448713985,200.0,26.5,0.0334774427407946,0.5030009372483955
-1.563634086014202e-06,163.15566050911502,163.15566050911505,-9.798743611917222e+18,-3.2376242161938356,200.0,27.0,0.033489904691006205,0.5029541395614263
-1.5784037714392031e-06,162.74894325137822,162.74894325137825,-9.798743611917222e+18,-3.2752778154817284,200.0,27.5,0.03350372519275762,0.5029043945699957
-1.5929092696442586e-06,162.32067272572007,162.3206727257201,-9.798743611917222e+18,-3.3014889991134333,200.0,28.0,0.033518785753112366,0.5028518175649044
-1.607167007075131e-06,161.87111292515837,161.87111292515843,-9.798743611917222e+18,-3.3186992446766825,200.0,28.5,0.033534986113777754,0.5027965235860034
-1.621191442225761e-06,161.4006802665695,161.40068026656957,-9.79874361191722e+18,-3.3288177703330177,200.0,29.0,0.033552240202025456,0.5027386275004653
-1.634995391427162e-06,160.90991088490244,160.90991088490247,-9.798743611917222e+18,-3.333337376923752,200.0,29.5,0.03357047301658527,0.502678243885578
-1.6485902924662196e-06,160.3994334024821,160.39943340248215,-9.798743611917222e+18,-3.3334254054444394,200.0,30.0,0.03358961824041359,0.5026154867898367
-1.6619864185259223e-06,159.86994629486432,159.86994629486435,-9.798743611917222e+18,-3.3299950566917462,200.0,30.5,0.03360961641656442,0.5025504694261288
-1.6751930523884068e-06,159.32219911691763,159.32219911691766,-9.79874361191722e+18,-3.3237612397354046,200.0,31.0,0.033630413558691494,0.5024833038354818
-1.688218628814176e-06,158.7569769713125,158.75697697131253,-9.798743611917222e+18,-3.3152842512989897,200.0,31.5,0.033651960095730404,0.5024141005481844
-1.701070851397981e-06,158.17508770056045,158.17508770056048,-9.79874361191722e+18,-3.305003897892517,200.0,32.0,0.03367421007247951,0.5023429682603129
-1.7137567889192592e-06,157.57735136654347,157.5773513665435,-9.79874361191722e+18,-3.293266122794694,200.0,32.5,0.033697120545283635,0.5022700135371749
-1.7262829551852073e-06,156.9645916508251,156.96459165082513,-9.798743611917222e+18,-3.280343763128606,200.0,33.0,0.03372065112577201,0.50219534055039
-1.7386553755538695e-06,156.33762886719654,156.33762886719654,-9.798743611917222e+18,-3.2664527158526258,200.0,33.5,0.03374476363637615,0.5021190508518696
-1.7508796426801955e-06,155.69727432670263,155.69727432670265,-9.798743611917222e+18,-3.2517645173507974,200.0,34.0,0.03376942184977177,0.5020412431855318
-1.762960963515854e-06,155.0443258363847,155.0443258363847,-9.798743611917222e+18,-3.2364161247461842,200.0,34.5,0.0337945912909445,0.5019620133358967
-1.7749041991864743e-06,154.37956414740438,154.3795641474044,-9.798743611917222e+18,-3.220517516321167,200.0,35.0,0.03382023908566815,0.5018814540116265
-1.7867138990463675e-06,153.70375019716866,153.70375019716872,-9.798743611917222e+18,-3.2041575940217095,200.0,35.5,0.03384633384312063,0.5017996547613831
-1.7983943299534329e-06,153.01762301443816,153.0176230144382,-9.798743611917222e+18,-3.1874087653877377,200.0,36.0,0.03387284556339725,0.501716701919015
-1.8099495016022183e-06,152.32189817690164,152.32189817690164,-9.798743611917222e+18,-3.170330499367422,200.0,36.5,0.033899745563010224,0.5016326785749273
-1.8213831885901114e-06,151.6172667279836,151.61726672798363,-9.798743611917222e+18,-3.152972085517723,200.0,37.0,0.03392700641324489,0.5015476645705002
-1.8326989497617847e-06,150.9043944742103,150.90439447421033,-9.798743611917222e+18,-3.1353747752715853,200.0,37.5,0.03395460188759849,0.501461736512515
-1.8439001452734293e-06,150.18392159675636,150.18392159675642,-9.798743611917222e+18,-3.1175734442289356,200.0,38.0,0.03398250691555414,0.501374967804734
-1.8549899517355838e-06,149.45646252115966,149.45646252115972,-9.798743611917222e+18,-3.099597883435936,200.0,38.5,0.03401069754071521,0.5012874286939787
-1.8659713757272034e-06,148.72260599797107,148.7226059979711,-9.798743611917222e+18,-3.081473803440058,200.0,39.0,0.03403915088190317,0.501199186328294
-1.876847265920568e-06,147.98291535450815,147.98291535450818,-9.798743611917222e+18,-3.0632236161001365,200.0,39.5,0.03406784509625138,0.5011103048250187
-1.8876203240140516e-06,147.2379288841651,147.23792888416511,-9.798743611917222e+18,-3.0448670444857013,200.0,40.0,0.0340967593436417,0.5010208453468198
-1.8982931146355037e-06,146.48816034503142,146.48816034503145,-9.79874361191722e+18,-3.026421599835673,200.0,40.5,0.03412587375206117,0.5009308661839713
-1.9088680743513176e-06,145.73409954408598,145.73409954408606,-9.798743611917222e+18,-3.0079029557098846,200.0,41.0,0.03415516938361958,0.5008404228413734
-1.919347519893872e-06,144.97621298703027,144.97621298703032,-9.798743611917222e+18,-2.9893252426340498,200.0,41.5,0.03418462820108509,0.5007495681290046
-1.9297336557018546e-06,144.2149445770779,144.21494457707794,-9.79874361191722e+18,-2.970701281223186,200.0,42.0,0.0342142330348746,0.5006583522546695
-1.9400285808531493e-06,143.45071634874543,143.45071634874546,-9.798743611917222e+18,-2.9520427676762737,200.0,42.5,0.03424396755048876,0.5005668229180804
-1.9502342954578543e-06,142.6839292250241,142.68392922502414,-9.798743611917222e+18,-2.933360422355555,200.0,43.0,0.03427381621641514,0.5004750254054438
-1.9603527065690394e-06,141.91496378828833,141.9149637882884,-9.798743611917222e+18,-2.9146641097111905,200.0,43.5,0.034303764272542746,0.5003830026838575
-1.9703856336606473e-06,141.14418105696555,141.14418105696558,-9.798743611917222e+18,-2.8959629359237153,200.0,44.0,0.034333797699141126,0.5002907954949404
