displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,load_all,time_all,pressurel
-1.8225109365046059e-06,1.2224274797660388,362.08459103795127,-1037.7393682743416,200.0,62.0,2.66299536915355e-05
-1.8225150771574053e-06,1.2224240006712042,362.0845876792734,-1037.739376048612,200.0,62.5,2.3332668475439106e-05
-1.82251919900184e-06,1.2224209344337806,362.0845847366612,-1037.739383524463,200.0,63.0,2.044364870066579e-05
-1.8225233025259341e-06,1.2224182299364037,362.0845821586627,-1037.739390741069,200.0,63.5,1.791234348682308e-05
-1.8225273881777488e-06,1.2224158423836136,362.0845799001889,-1037.739397732764,200.0,64.0,1.5694461095855368e-05
-1.8225314563699458e-06,1.2224137325192774,362.08457792172675,-1037.7394045296403,200.0,64.5,1.3751193933418977e-05
-1.822535507483806e-06,1.222411865941964,362.0845761886499,-1037.7394111580718,200.0,65.0,1.2048539509549329e-05
-1.8225395418727547e-06,1.222410212504367,362.08457467061396,-1037.7394176411751,200.0,65.5,1.0556705477069658e-05
-1.8225435598654625e-06,1.222408745787504,362.0845733410272,-1037.7394239992113,200.0,66.0,9.249588337347042e-06
-1.8225475617685676e-06,1.2224074426392975,362.0845721765864,-1037.7394302499408,200.0,66.5,8.104316692004097e-06
-1.8225515478690753e-06,1.222406282770614,362.0845711568701,-1037.739436408931,200.0,67.0,7.1008510485921e-06
-1.8225555184364622e-06,1.2224052484017867,362.0845702639826,-1037.7394424898262,200.0,67.5,6.221633177790189e-06
-1.8225594737245342e-06,1.2224043239511875,362.084569482241,-1037.7394485045909,200.0,68.0,5.4512788867264736e-06
-1.8225634139730578e-06,1.2224034957645864,362.08456879790214,-1037.7394544637107,200.0,68.5,4.776308832695365e-06
-1.8225673394091986e-06,1.2224027518758913,362.0845681989223,-1037.7394603763803,200.0,69.0,4.184912667160067e-06
-1.8225712502487893e-06,1.2224020817985748,362.08456767474684,-1037.7394662506604,200.0,69.5,3.6667423831288376e-06
-1.8225751466974471e-06,1.2224014763434432,362.0845672161272,-1037.739472093619,200.0,70.0,3.212731249982641e-06
-1.8225790289515607e-06,1.2224009274571654,362.084566814958,-1037.7394779114543,200.0,70.5,2.81493516754989e-06
-1.8225828971991593e-06,1.2224004280821583,362.0845664641362,-1037.7394837096022,200.0,71.0,2.4663936635072997e-06
-1.8225867516206831e-06,1.22239997203387,362.0845661574374,-1037.7394894928293,200.0,71.5,2.16100810189661e-06
-1.822590592389663e-06,1.222399553892135,362.0845658894069,-1037.7394952653185,200.0,72.0,1.8934349716995002e-06
-1.8225944196733214e-06,1.2223991689072404,362.0845656552647,-1037.739501030738,200.0,72.5,1.65899238827852e-06
-1.822598233633109e-06,1.2223988129166543,362.08456545082163,-1037.7395067923076,200.0,73.0,1.4535781716843015e-06
-1.8226020344251734e-06,1.2223984822723677,362.0845652724068,-1037.7395125528521,200.0,73.5,1.2735980683971284e-06
-1.8226058222007814e-06,1.222398173777715,362.0845651168033,-1037.739518314852,200.0,74.0,1.1159028605564373e-06
-1.8226095971066911e-06,1.222397884630825,362.08456498119176,-1037.7395240804851,200.0,74.5,9.777332622412154e-07
-1.822613359285485e-06,1.2223976123765987,362.0845648631021,-1037.7395298516635,200.0,75.0,8.566716386193019e-07
-1.8226171088758659e-06,1.2223973548634057,362.0845647603693,-1037.739535630067,200.0,75.5,7.50599703166919e-07
-1.8226208460129189e-06,1.2223971102053866,362.08456467109585,-1037.7395414171729,200.0,76.0,6.576614527618784e-07
-1.8226245708283515e-06,1.2223968767500843,362.0845645936198,-1037.739547214279,200.0,76.5,5.762306921039096e-07
-1.822628283450701e-06,1.2223966530486516,362.0845645264833,-1037.7395530225283,200.0,77.0,5.048825792178124e-07
-1.822631984005528e-06,1.2223964378322247,362.08456446841024,-1037.7395588429247,200.0,77.5,4.423686941542925e-07
-1.8226356726155839e-06,1.2223962299879332,362.0845644182815,-1037.739564676354,200.0,78.0,3.8759519465089504e-07
-1.8226393494009668e-06,1.2223960285409659,362.0845643751166,-1037.7395705235958,200.0,78.5,3.396036765297579e-07
-1.8226430144792602e-06,1.2223958326367679,362.08456433805634,-1037.7395763853383,200.0,79.0,2.9755440393528547e-07
-1.8226466679656575e-06,1.2223956415262425,362.08456430634783,-1037.7395822621886,200.0,79.5,2.607116159813565e-07
-1.8226503099730772e-06,1.2223954545528373,362.0845642793309,-1037.7395881546831,200.0,80.0,2.2843065270979254e-07
-1.8226539406122648e-06,1.2223952711415307,362.0845642564277,-1037.7395940632962,200.0,80.5,2.0014667509541623e-07
-1.8226575599918887e-06,1.222395090787472,362.0845642371315,-1037.7395999884484,200.0,81.0,1.7536478172499274e-07
-1.8226611682186271e-06,1.2223949130487903,362.08456422099783,-1037.7396059305129,200.0,81.5,1.5365134921573596e-07
-1.8226647653972454e-06,1.2223947375380306,362.08456420763804,-1037.73961188982,200.0,82.0,1.3462644485161958e-07
-1.8226683516306702e-06,1.2223945639151772,362.08456419671086,-1037.739617866665,200.0,82.5,1.1795717867689289e-07
-1.8226719270200555e-06,1.2223943918827038,362.0845641879175,-1037.73962386131,200.0,83.0,1.0335187872447893e-07
-1.822675491664846e-06,1.2223942211793029,362.0845641809962,-1037.7396298739902,200.0,83.5,9.055498745980044e-08
-1.8226790456628328e-06,1.2223940515760958,362.08456417571745,-1037.7396359049158,200.0,84.0,7.934259014008967e-08
-1.8226825891102083e-06,1.2223938828723875,362.08456417188023,-1037.7396419542754,200.0,84.5,6.95184968462711e-08
-1.822686122101615e-06,1.2223937148921167,362.08456416930824,-1037.7396480222392,200.0,85.0,6.091080963240585e-08
-1.8226896447301916e-06,1.222393547480704,362.0845641678471,-1037.7396541089604,200.0,85.5,5.336891472609864e-08
-1.8226931570876194e-06,1.2223933805031322,362.08456416736146,-1037.739660214578,200.0,86.0,4.676084715062222e-08
-1.822696659264158e-06,1.222393213840206,362.08456416773276,-1037.7396663392194,200.0,86.5,4.097098165600447e-08
-1.8227001513486902e-06,1.2223930473878244,362.0845641688571,-1037.7396724829996,200.0,87.0,3.589800955593506e-08
-1.822703633428754e-06,1.222392881054844,362.08456417064366,-1037.7396786460247,200.0,87.5,3.145316607001885e-08
-1.8227071055905768e-06,1.222392714760569,362.0845641730123,-1037.7396848283918,200.0,88.0,2.755867715413838e-08
-1.8227105679191119e-06,1.222392548434826,362.08456417589343,-1037.7396910301914,200.0,88.5,2.4146398642201003e-08
-1.8227140204980663e-06,1.2223923820156852,362.08456417922565,-1037.7396972515069,200.0,89.0,2.115662388753418e-08
-1.822717463409931e-06,1.2223922154488303,362.0845641829553,-1037.7397034924163,200.0,89.5,1.8537039040525975e-08
-1.8227208967360108e-06,1.2223920486865207,362.0845641870354,-1037.7397097529933,200.0,90.0,1.6241807682389686e-08
-1.8227243205564486e-06,1.2223918816868193,362.08456419142476,-1037.7397160333062,200.0,90.5,1.4230768798351165e-08
-1.8227277349502544e-06,1.2223917144126466,362.0845641960871,-1037.7397223334199,200.0,91.0,1.246873405672096e-08
-1.8227311399953278e-06,1.2223915468317754,362.0845642009911,-1037.7397286533972,200.0,91.5,1.092487209793236e-08
-1.822734535768483e-06,1.2223913789156948,362.0845642061089,-1037.7397349932958,200.0,92.0,9.572169060085684e-09
-1.822737922345472e-06,1.2223912106390726,362.0845642114162,-1037.7397413531733,200.0,92.5,8.386955901497755e-09
-1.8227412998010055e-06,1.2223910419798185,362.0845642168917,-1037.7397477330837,200.0,93.0,7.348494249540358e-09
-1.8227446682087764e-06,1.2223908729183273,362.0845642225168,-1037.7397541330795,200.0,93.5,6.438613529121362e-09
-1.8227480276414784e-06,1.222390703437412,362.0845642282753,-1037.7397605532121,200.0,94.0,5.6413930214312705e-09
-1.8227513781708272e-06,1.22239053352171,362.0845642341527,-1037.7397669935306,200.0,94.5,4.942883289750149e-09
-1.8227547198675785e-06,1.2223903631579085,362.0845642401368,-1037.7397734540837,200.0,95.0,4.3308620979384805e-09
-1.8227580528015492e-06,1.2223901923339,362.0845642462163,-1037.7397799349183,200.0,95.5,3.794620550773364e-09
-1.8227613770416341e-06,1.2223900210391623,362.0845642523818,-1037.7397864360814,200.0,96.0,3.3247757141021846e-09
-1.822764692655823e-06,1.2223898492641485,362.08456425862477,-1037.7397929576184,200.0,96.5,2.913106436118046e-09
-1.8227679997112178e-06,1.2223896770005294,362.0845642649379,-1037.739799499575,200.0,97.0,2.552409497024976e-09
-1.8227712982740512e-06,1.2223895042409882,362.08456427131495,-1037.7398060619946,200.0,97.5,2.2363735700590357e-09
-1.8227745884097006e-06,1.2223893309786447,362.08456427775,-1037.7398126449227,200.0,98.0,1.959468788487138e-09
-1.8227778701827058e-06,1.2223891572075165,362.08456428423824,-1037.7398192484025,200.0,98.5,1.716849986272156e-09
-1.8227811436567813e-06,1.2223889829222816,362.0845642907753,-1037.7398258724775,200.0,99.0,1.5042719193493491e-09
-1.8227844088948347e-06,1.2223888081179446,362.08456429735736,-1037.7398325171914,200.0,99.5,1.3180149840909054e-09
-1.8227876659589806e-06,1.2223886327905273,362.0845643039813,-1037.7398391825864,200.0,100.0,1.1548201332107168e-09
-1.8227909149105524e-06,1.2223884569355898,362.08456431064417,-1037.7398458687064,200.0,100.5,1.0118318502946862e-09
-1.822794155810119e-06,1.2223882805498074,362.0845643173434,-1037.7398525755937,200.0,101.0,8.865481851483742e-10
-1.8227973887174958e-06,1.222388103629655,362.0845643240767,-1037.7398593032915,200.0,101.5,7.767769757010223e-10
-1.82280061369176e-06,1.2223879261722093,362.0845643308424,-1037.7398660518425,200.0,102.0,6.805974904547864e-10
-1.8228038307912637e-06,1.2223877481747298,362.08456433763865,-1037.7398728212893,200.0,102.5,5.963268203145606e-10
-1.8228070400736426e-06,1.2223875696345294,362.084564344464,-1037.7398796116754,200.0,103.0,5.224904317364625e-10
-1.8228102415958338e-06,1.2223873905490525,362.08456435131717,-1037.7398864230431,200.0,103.5,4.577963659460282e-10
-1.822813435414084e-06,1.2223872109164071,362.08456435819704,-1037.739893255436,200.0,104.0,4.0111263277467485e-10
-1.822816621583961e-06,1.2223870307343474,362.08456436510284,-1037.7399001088966,200.0,104.5,3.5144740356108213e-10
-1.8228198001603696e-06,1.2223868500007729,362.08456437203347,-1037.739906983468,200.0,105.0,3.0793165654099894e-10
-1.8228229711975564e-06,1.2223866687137994,362.0845643789883,-1037.7399138791945,200.0,105.5,2.6980397106164185e-10
-1.8228261347491262e-06,1.2223864868716117,362.0845643859667,-1037.739920796119,200.0,106.0,2.363972045561326e-10
-1.8228292908680481e-06,1.2223863044725882,362.0845643929681,-1037.7399277342847,200.0,106.5,2.071268191571076e-10
-1.822832439606671e-06,1.2223861215150489,362.08456439999213,-1037.7399346937357,200.0,107.0,1.8148065369340706e-10
-1.8228355810167303e-06,1.2223859379975797,362.08456440703844,-1037.7399416745156,200.0,107.5,1.5900996210444708e-10
-1.822838715149358e-06,1.2223857539182006,362.08456441410624,-1037.7399486766694,200.0,108.0,1.3932156146612075e-10
-1.8228418420550937e-06,1.2223855692758228,362.0845644211958,-1037.7399557002407,200.0,108.5,1.2207095223762167e-10
-1.822844961783895e-06,1.222385384068896,362.08456442830663,-1037.7399627452737,200.0,109.0,1.0695629035009961e-10
-1.8228480743851438e-06,1.2223851982958311,362.08456443543844,-1037.7399698118134,200.0,109.5,9.371310566322598e-11
-1.8228511799076593e-06,1.2223850119553654,362.08456444259105,-1037.7399768999048,200.0,110.0,8.210967437539599e-11
-1.8228542783997037e-06,1.222384825046195,362.08456444976457,-1037.7399840095918,200.0,110.5,7.194296441590634e-11
-1.8228573699089936e-06,1.2223846375669105,362.0845644569587,-1037.7399911409207,200.0,111.0,6.303508287324644e-11
-1.822860454482707e-06,1.2223844495160683,362.0845644641731,-1037.739998293936,200.0,111.5,5.523016329806046e-11
-1.8228635321674925e-06,1.222384260892404,362.08456447140804,-1037.7400054686839,200.0,112.0,4.839163841609009e-11
-1.8228666030094768e-06,1.222384071694719,362.0845644786634,-1037.7400126652094,200.0,112.5,4.239985053015119e-11
-1.8228696670542746e-06,1.2223838819215211,362.0845644859389,-1037.740019883559,200.0,113.0,3.7149957798937064e-11
-1.8228727243469948e-06,1.2223836915718238,362.0845644932349,-1037.7400271237777,200.0,113.5,3.255009975757758e-11
-1.8228757749322489e-06,1.2223835006439554,362.08456450055087,-1037.7400343859128,200.0,114.0,2.85197899809879e-11
-1.8228788188541584e-06,1.2223833091369938,362.0845645078873,-1037.7400416700102,200.0,114.5,2.498850776548883e-11
-1.822881856156363e-06,1.2223831170494777,362.08456451524387,-1037.7400489761167,200.0,115.0,2.189446418652287e-11
-1.8228848868820283e-06,1.222382924380234,362.08456452262084,-1037.7400563042784,200.0,115.5,1.9183520941453667e-11
-1.8228879110738499e-06,1.2223827311278648,362.0845645300178,-1037.7400636545424,200.0,116.0,1.680824305980137e-11
-1.8228909287740656e-06,1.2223825372912178,362.08456453743514,-1037.740071026956,200.0,116.5,1.4727068905628733e-11
-1.8228939400244572e-06,1.2223823428689278,362.08456454487276,-1037.740078421566,200.0,117.0,1.2903582949121139e-11
-1.8228969448663608e-06,1.2223821478597952,362.0845645523308,-1037.7400858384203,200.0,117.5,1.1305878582615487e-11
-1.8228999433406731e-06,1.2223819522626969,362.0845645598091,-1037.7400932775658,200.0,118.0,9.905999831895458e-12
-1.8229029354878555e-06,1.2223817560759247,362.0845645673076,-1037.7401007390504,200.0,118.5,8.679452194047136e-12
-1.8229059213479426e-06,1.222381559298812,362.0845645748268,-1037.7401082229217,200.0,119.0,7.60477404271623e-12
-1.8229089009605487e-06,1.2223813619297383,362.08456458236645,-1037.7401157292275,200.0,119.5,6.663161101392509e-12
-1.8229118743648732e-06,1.2223811639674114,362.08456458992646,-1037.7401232580162,200.0,120.0,5.838137413909586e-12
